fountaintype,position,propname,borough,fountaincount,district,point
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.8384997415326,40.74635539492548)"
A,"Out in Open, Near Ballfield",St. Mary's Park,X,1,"A, Out in Open, Near Ballfield"," (-73.91124846675474,40.80908409845168)"
A,Out in Open,Rockaway Beach and Boardwalk,Q,1,"A, Out in Open"," (-73.75256898374609,40.593167270654604)"
A,Under Tree,Pelham Bay Park,X,1,"A, Under Tree"," (-73.79618642561108,40.86545342210257)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.84890783240576,40.74314530568192)"
A,"Just Outside Playground, Near Ballfield",Bushwick Playground,B,1,"A, Just Outside Playground, Near Ballfield"," (-73.91204487795996,40.69617789779508)"
C,"Under Tree, In Playground, Near Ballfield",Poor Richard's Playground,M,1,"C, Under Tree, In Playground, Near Ballfield"," (-73.94320457147904,40.79297086976338)"
C,,McLaughlin Park,B,1,"C,"," (-73.98662598177974,40.69635112207789)"
F,"Under Tree, In Playground",Stockton Playground,B,1,"F, Under Tree, In Playground"," (-73.94881418352253,40.69722353523506)"
A,Out in Open,St. James Park,X,1,"A, Out in Open"," (-73.89744379712903,40.86599771987363)"
E,Out in Open,Central Park,M,1,"E, Out in Open"," (-73.95870407929567,40.784327951722005)"
D,Near Ballfield,Col. Young Playground,M,1,"D, Near Ballfield"," (-73.93544148145634,40.818750396248724)"
A,In Playground,Alley Pond Park,Q,1,"A, In Playground"," (-73.75400774861767,40.75876995859167)"
A,Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,R,1,"A, Near Ballfield"," (-74.0830635522819,40.57424200492338)"
A,In Playground,Francis Lewis Playground,Q,1,"A, In Playground"," (-73.78398584133087,40.76017926178301)"
A,In Playground,Kissena Corridor Park,Q,1,"A, In Playground"," (-73.78722928392247,40.744642166065965)"
A,Out in Open,Seaside Playground,Q,1,"A, Out in Open"," (-73.83074794623175,40.580923208107805)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.97272526607563,40.574031009672325)"
C,"Near Ballfield, In Playground",Watson Gleason Playground,X,1,"C, Near Ballfield, In Playground"," (-73.86899506887917,40.82819593628606)"
A,Just Outside Playground,Roy Wilkins Recreation Center,Q,1,"A, Just Outside Playground"," (-73.77028913121892,40.6846540254565)"
Drinking Fountain Sink Combination,Indoor,Prospect Park,B,2,"Drinking Fountain Sink Combination, Indoor"," (-73.97334865872476,40.66358604631898)"
Bottle Filler Fountain,Indoor,Metropolitan Recreation Center,B,2,"Bottle Filler Fountain, Indoor"," (-73.9603169539417,40.71501243277917)"
A,Near Ballfield,Marine Park,B,1,"A, Near Ballfield"," (-73.92641815777787,40.60602000871215)"
C,"Near Ballfield, Out in Open",Central Park,M,1,"C, Near Ballfield, Out in Open"," (-73.97443200732587,40.77267817060616)"
E,,Brooklyn Botanic Garden,B,1,"E,"," (-73.96223330237463,40.663816819731316)"
A,Near Ballfield,Sternberg Park,B,1,"A, Near Ballfield"," (-73.94789443198454,40.706333564981605)"
E,,Marine Park,B,1,"E,"," (-73.92102283850032,40.58947068787884)"
C,Out in Open,Crotona Park,X,1,"C, Out in Open"," (-73.89470877555631,40.836441096850855)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.8364824141542,40.74709742357137)"
A,"In Shade, In Playground, Near Ballfield",Frederick Douglass Playground,M,1,"A, In Shade, In Playground, Near Ballfield"," (-73.9677348351984,40.79699333040518)"
G,Under Tree,Pelham Bay Park,X,1,"G, Under Tree"," (-73.79355815682896,40.8618327276609)"
A,Near Ballfield,Marine Park,B,1,"A, Near Ballfield"," (-73.93651323069257,40.60502564652493)"
E,Out in Open,Marion Hopkinson Playground,B,1,"E, Out in Open"," (-73.91400667439183,40.681827821217865)"
C,"Under Tree, In Playground",Nathan Weidenbaum Playground,Q,1,"C, Under Tree, In Playground"," (-73.90232912323552,40.73803649477718)"
C,Out in Open,Hunts  Riverside Park,X,1,"C, Out in Open"," (-73.88168053553824,40.81753466767228)"
A,"Out in Open, In Playground",Morgan Playground,X,1,"A, Out in Open, In Playground"," (-73.90739973152178,40.832282843850095)"
Bottle Filler High Low,,Bayswater Park,Q,3,"Bottle Filler High Low,"," (-73.76756281712932,40.59987267470225)"
C,"Near Ballfield, In Playground",Carroll Park,B,1,"C, Near Ballfield, In Playground"," (-73.9961539922516,40.681387713621916)"
A,Under Tree,Pelham Bay Park,X,1,"A, Under Tree"," (-73.79121147119533,40.86924666166818)"
CS Metal,,Jesse Owens Playground,B,1,"CS Metal,"," (-73.93248385480535,40.691653524147455)"
Bottle Filler High Low,"Under Tree, In Shade, In Playground",Lafayette Playground,B,3,"Bottle Filler High Low, Under Tree, In Shade, In Playground"," (-73.98526346168536,40.59463494513833)"
B,"Under Tree, In Shade, Out in Open",Central Park,M,1,"B, Under Tree, In Shade, Out in Open"," (-73.97762644430233,40.77148728769238)"
D,In Playground,Queens Valley Playground,Q,1,"D, In Playground"," (-73.82390796922903,40.72184927580698)"
CS Concrete,"In Shade, In Playground",Twenty-Four Sycamores Park,M,1,"CS Concrete, In Shade, In Playground"," (-73.95884170723251,40.759438572496066)"
C,"Near Ballfield, Out in Open",Belt Parkway/Shore Parkway,B,1,"C, Near Ballfield, Out in Open"," (-73.8985511381556,40.61876742457109)"
C,"Under Tree, In Shade, In Playground",Merriam Playground,X,1,"C, Under Tree, In Shade, In Playground"," (-73.92605558285564,40.839063900134995)"
C,"Under Tree, Near Ballfield",Kissena Corridor Park,Q,1,"C, Under Tree, Near Ballfield"," (-73.81729326507677,40.746169045037746)"
E,"Near Ballfield, Out in Open",Central Park,M,1,"E, Near Ballfield, Out in Open"," (-73.95843141177176,40.79307680579718)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83876114102763,40.7447674954638)"
E,Out in Open,Gwirtzman Triangle,Q,1,"E, Out in Open"," (-73.86269215608193,40.57558372543688)"
C,Out in Open,Ruppert Park,M,1,"C, Out in Open"," (-73.94978316508032,40.780842928600784)"
CS Metal,In Playground,Allerton Playground,X,1,"CS Metal, In Playground"," (-73.85057928035219,40.86565972732567)"
Pedestal,"In Shade, In Playground",Blake Hobbs Playground,M,1,"Pedestal, In Shade, In Playground"," (-73.94394084123219,40.78933606957354)"
B,Out in Open,Hamilton Fish Park,M,1,"B, Out in Open"," (-73.98022388585855,40.71954501131473)"
E,"Out in Open, Just Outside Playground",South Oxford Park,B,1,"E, Out in Open, Just Outside Playground"," (-73.97274397500217,40.68363305244101)"
CS Metal,,Prospect Park,B,1,"CS Metal,"," (-73.97141198187818,40.665535334561916)"
C,In Playground,Challenge Playground,Q,1,"C, In Playground"," (-73.72826332157173,40.756859590516015)"
A,In Playground,Equity Playground,Q,1,"A, In Playground"," (-73.85350951202724,40.69165809221225)"
A,Near Ballfield,Woodtree Playground,Q,1,"A, Near Ballfield"," (-73.90241776582482,40.777829060363565)"
A,Near Ballfield,Southern Fields,Q,1,"A, Near Ballfield"," (-73.8247420019349,40.665379040200975)"
B,"In Playground, Near Ballfield",Thomas Jefferson Park,M,1,"B, In Playground, Near Ballfield"," (-73.93514491493612,40.79369497449562)"
Indoor Drinking Fountain,Indoor,Randall's Island Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.92337903712246,40.799373697847855)"
A,In Playground,D'Emic Playground,B,1,"A, In Playground"," (-74.00537670956024,40.65596729647682)"
E,Out in Open,Prospect Park,B,1,"E, Out in Open"," (-73.97043638086619,40.67211777690469)"
G,"Under Tree, In Playground",Van Cortlandt Park,X,1,"G, Under Tree, In Playground"," (-73.8983006952694,40.88677752646228)"
A,"Out in Open, In Playground",Canarsie Park,B,1,"A, Out in Open, In Playground"," (-73.89319444137611,40.63068857661512)"
E,Under Tree,City Hall Park,M,1,"E, Under Tree"," (-74.00647211494217,40.713511020744164)"
Pedestal High Low and Dog,,Bushwick Inlet Park,B,3,"Pedestal High Low and Dog,"," (-73.96082130110581,40.72151203118814)"
Indoor Drinking Fountain,Indoor,Recreation Center 54,M,1,"Indoor Drinking Fountain, Indoor"," (-73.9651300857608,40.756481418811035)"
Other,Near Ballfield,Bronx River Parkway,X,1,"Other, Near Ballfield"," (-73.87389306702221,40.8276013869075)"
A,In Shade,Forest Park,Q,1,"A, In Shade"," (-73.85825124307124,40.7000515161798)"
C,"Under Tree, In Shade",Bowne Park,Q,1,"C, Under Tree, In Shade"," (-73.80774250896407,40.77055804539368)"
C,Near Ballfield,Star Spangled Playground,B,1,"C, Near Ballfield"," (-73.95824577649833,40.69206201723237)"
C,"Out in Open, Just Outside Playground",Oxport Playground,B,1,"C, Out in Open, Just Outside Playground"," (-73.97616645204342,40.697322181149275)"
A,Out in Open,Flushing Meadows Corona Park,Q,1,"A, Out in Open"," (-73.84589339065099,40.745464991738956)"
A,Out in Open,Thomas Greene Playground,B,1,"A, Out in Open"," (-73.9855927048367,40.68022984387135)"
E,Out in Open,NYC AIDS Memorial Park at St. Vincent’s Triangle,M,1,"E, Out in Open"," (-74.00122646059248,40.737343326728585)"
D,In Playground,Beach 59th St Playground,Q,1,"D, In Playground"," (-73.78895543965956,40.589046234501)"
D,"Under Tree, Near Ballfield",Crack Is Wack Playground,M,1,"D, Under Tree, Near Ballfield"," (-73.93216995215553,40.80441402108518)"
E,"Near Ballfield, Under Tree, In Shade",Central Park,M,1,"E, Near Ballfield, Under Tree, In Shade"," (-73.96063965079344,40.79344262582427)"
C,Near Ballfield,St. Michael's Playground,Q,1,"C, Near Ballfield"," (-73.90043479196501,40.75957698113527)"
C,Just Outside Playground,Murray Hill Playground,Q,1,"C, Just Outside Playground"," (-73.8116674657143,40.761482587644146)"
C,In Playground,Underhill Playground,B,1,"C, In Playground"," (-73.9656417462942,40.67676095920858)"
D,In Playground,Locust Manor Playground,Q,1,"D, In Playground"," (-73.75652580172523,40.68568764584856)"
F High Low,"Near Ballfield, Just Outside Playground",James Weldon Johnson Playground,M,2,"F High Low, Near Ballfield, Just Outside Playground"," (-73.94161537042868,40.79701694826961)"
A,"Under Tree, In Shade, Near Ballfield, In Playground",William McCray Playground,M,1,"A, Under Tree, In Shade, Near Ballfield, In Playground"," (-73.93771269099662,40.81553447715578)"
A,Out in Open,Crotona Park,X,1,"A, Out in Open"," (-73.89899690401404,40.83849445485388)"
CS Concrete,On parkhouse wall,Francis Lewis Park,Q,1,"CS Concrete, On parkhouse wall"," (-73.82563625074181,40.79620546259872)"
A,"Out in Open, Near Ballfield",Flushing Fields,Q,1,"A, Out in Open, Near Ballfield"," (-73.81699036586781,40.775223389180454)"
CS Metal,"Out in Open, In Playground",Grove Hill Playground,X,1,"CS Metal, Out in Open, In Playground"," (-73.90855021724146,40.819872044981786)"
C,Just Outside Playground,Hollis Playground,Q,1,"C, Just Outside Playground"," (-73.75315048839656,40.70644595546546)"
Bottle Filler High Low,,Newtown Barge Playground,B,3,"Bottle Filler High Low,"," (-73.96018013349764,40.73561108596551)"
D,"Just Outside Playground, Under Tree",Catherine Slip Malls,M,1,"D, Just Outside Playground, Under Tree"," (-73.99613916646689,40.710044127588866)"
E and Dog,Out in Open,Owl's Head Park,B,2,"E and Dog, Out in Open"," (-74.03496512264346,40.64019994141612)"
C,"Near Ballfield, In Playground",Hattie Carthan Playground,B,1,"C, Near Ballfield, In Playground"," (-73.9461571402069,40.68574631377535)"
F High Low,,Stroud Playground,B,2,"F High Low,"," (-73.96196240687716,40.67484441189574)"
E,"In Playground, Under Tree",Fort Greene Park,B,1,"E, In Playground, Under Tree"," (-73.97700295092757,40.69250472995409)"
B,Out in Open,Central Park,M,1,"B, Out in Open"," (-73.9513189955382,40.79447916984636)"
C,"In Shade, In Playground",Stars & Stripes Playground,X,1,"C, In Shade, In Playground"," (-73.83908191464867,40.8855264339569)"
Indoor Drinking Fountain,Indoor,Sara D. Roosevelt Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.99225778697928,40.72042456081429)"
H,In Playground,Queensbridge Park,Q,1,"H, In Playground"," (-73.94711273044904,40.75695554549364)"
C,"Out in Open, Near Ballfield",Breukelen Ballfields,B,1,"C, Out in Open, Near Ballfield"," (-73.89107843541382,40.65048657281693)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.97511547966073,40.66521949374927)"
